Total general_cotizantes,Total Región Distrito Nacional_cotizantes,Total 0 - Santo Domingo_cotizantes,Distrito Nacional_cotizantes,Monte Plata_cotizantes,Santo Domingo_cotizantes,Total Región Este_cotizantes,Total V - Este_cotizantes,El Seybo_cotizantes,Hato Mayor del Rey_cotizantes,La Altagracia_cotizantes,La Romana_cotizantes,San Pedro de Macorís_cotizantes,Total Región Norte_cotizantes,Total II - Norcentral_cotizantes,Espaillat_cotizantes,Puerto Plata_cotizantes,Santiago_cotizantes,Total III - Nordeste_cotizantes,Duarte_cotizantes,Hermanas Mirabal_cotizantes,Maria Trinidad Sanchez_cotizantes,Samana,Total VII - Cibao Occidental_cotizantes,Dajabon_cotizantes,Montecristi_cotizantes,Santiago Rodriguez_cotizantes,Valverde_cotizantes,Total VIII - Cibao Central_cotizantes,La vega_cotizantes,Monseñor Nouel_cotizantes,Sanchez Ramirez_cotizantes,Total Región Sur_cotizantes,Total I - Valdesia_cotizantes,Peravia_cotizantes,San Cristóbal_cotizantes,San jose de Ocoa,Total IV - Enriquillo_cotizantes,Bahoruco_cotizantes,Barahona_cotizantes,Independencia_cotizantes,Pedernales_cotizantes,Total VI - El Valle_cotizantes,Azua_cotizantes,Elias Piña_cotizantes,San Juan de la Maguana_cotizantes,No Especificada_cotizantes,Month,Year,Periodo de Cobertura,Total general_no_cotizantes,Total Región Distrito Nacional_no_cotizantes,Total 0 - Santo Domingo_no_cotizantes,Distrito Nacional_no_cotizantes,Monte Plata_no_cotizantes,Santo Domingo_no_cotizantes,Total Región Este_no_cotizantes,Total V - Este_no_cotizantes,El Seybo_no_cotizantes,Hato Mayor del Rey_no_cotizantes,La Altagracia_no_cotizantes,La Romana_no_cotizantes,San Pedro de Macorís_no_cotizantes,Total Región Norte_no_cotizantes,Total II - Norcentral_no_cotizantes,Espaillat_no_cotizantes,Puerto Plata_no_cotizantes,Santiago_no_cotizantes,Total III - Nordeste_no_cotizantes,Duarte_no_cotizantes,Hermanas Mirabal_no_cotizantes,Maria Trinidad Sanchez_no_cotizantes,Samaná_regionales,Total VII - Cibao Occidental_no_cotizantes,Dajabon_no_cotizantes,Montecristi_no_cotizantes,Santiago Rodriguez_no_cotizantes,Valverde_no_cotizantes,Total VIII - Cibao Central_no_cotizantes,La vega_no_cotizantes,Monseñor Nouel_no_cotizantes,Sanchez Ramirez_no_cotizantes,Total Región Sur_no_cotizantes,Total I - Valdesia_no_cotizantes,Peravia_no_cotizantes,San Cristóbal_no_cotizantes,San José de Ocoa_regionales,Total IV - Enriquillo_no_cotizantes,Bahoruco_no_cotizantes,Barahona_no_cotizantes,Independencia_no_cotizantes,Pedernales_no_cotizantes,Total VI - El Valle_no_cotizantes,Azua_no_cotizantes,Elias Piña_no_cotizantes,San Juan de la Maguana_no_cotizantes,No Especificada_no_cotizantes,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada
1949615,585624,585624,394192,38702,152730,168083,168083,19429,19778,33411,41808,53657,619518,283586,49301,59195,175090,120888,55398,22595,26583,16312,79022,16901,19447,16521,26153,136022,71854,30796,33372,336281,129418,23010,91668,14740,78050,21480,38169,13947,4454,128813,35960,22132,70721,240109,6,2021,2021-06-01,2141047,650929,650929,424766,19336,206827,184028,184028,13091,14094,47499,52355,56989,656665,332693,47149,58176,227368,117925,59475,20638,24977,12835,69856,11109,14746,14067,29934,136191,71900,36367,27924,277709,121293,27740,83744,9809,59742,12659,34765,9659,2659,96674,40840,9437,46397,371716,4090662,1236553,1236553,818958,58038,359557,352111,352111,32520,33872,80910,94163,110646,1276183,616279,96450,117371,402458,238813,114873,43233,51560,29147,148878,28010,34193,30588,56087,272213,143754,67163,61296,613990,250711,50750,24549,175412,137792,34139,72934,23606,7113,225487,76800,31569,117118,611825
1964809,590144,590144,397099,38661,154384,171746,171746,19692,19921,35542,42732,53859,622989,285610,49494,59787,176329,121833,55780,22701,26812,16540,79301,17066,19506,16486,26243,136245,71861,30909,33475,336781,129647,23171,91787,14689,78430,21406,38337,14197,4490,128704,35920,22050,70734,243149,7,2021,2021-07-01,2183226,660592,660592,431350,19691,209551,188116,188116,13330,14289,49514,53469,57514,665236,337741,47828,59241,230672,119874,60246,20807,25563,13258,70817,11390,14983,14147,30297,136804,72134,36392,28278,281636,122549,28103,84588,9858,60735,12913,35213,9883,2726,98352,41661,9623,47068,387646,4148035,1250736,1250736,828449,58352,363935,359862,359862,33022,34210,85056,96201,111373,1288225,623351,97322,119028,407001,241707,116026,43508,52375,29798,150118,28456,34489,30633,56540,273049,143995,67301,61753,618417,252196,51274,24547,176375,139165,34319,73550,24080,7216,227056,77581,31673,117802,630795
1985796,600616,600616,403322,38888,158406,175287,175287,19945,20200,36886,43357,54899,626089,287629,49430,60431,177768,121868,55760,22702,26937,16469,79522,17129,19587,16521,26285,137070,72470,30916,33684,338192,130280,23177,92351,14752,78773,21455,38497,14310,4511,129139,36170,22140,70829,245612,8,2021,2021-08-01,2213062,667435,667435,436367,19897,211171,191590,191590,13730,14591,50797,53981,58491,671410,340851,48242,60046,232563,120616,60577,20991,25710,13338,71478,11575,15113,14330,30460,138465,73204,36718,28543,282804,122626,28045,84662,9919,60917,12846,35262,10056,2753,99261,42441,9667,47153,399823,4198858,1268051,1268051,839689,58785,369577,366877,366877,33675,34791,87683,97338,113390,1297499,628480,97672,120477,410331,242484,116337,43693,52647,29807,151000,28704,34700,30851,56745,275535,145674,67634,62227,620996,252906,51222,24671,177013,139690,34301,73759,24366,7264,228400,78611,31807,117982,645435
1901492,580034,580034,388023,37290,154721,171147,171147,19332,19530,36413,42576,53296,594624,275029,46797,58593,169639,115071,52369,21209,25594,15899,75009,16112,18326,15658,24913,129515,68270,28984,32261,321176,123465,21353,88269,13843,74768,20640,36294,13536,4298,122943,34450,20977,67516,234511,9,2021,2021-09-01,2312829,694909,694909,455735,21506,217668,197660,197660,14317,15256,52158,55331,60598,705077,354098,50508,63117,240473,127688,63976,22203,27342,14167,76081,12580,16323,15079,32099,147210,78294,39057,29859,298752,128619,29130,88827,10662,64828,13643,37395,10826,2964,105305,44347,10665,50293,416431,4214321,1274943,1274943,843758,58796,372389,368807,368807,33649,34786,88571,97907,113894,1299701,629127,97305,121710,410112,242759,116345,43412,52936,30066,151090,28692,34649,30737,57012,276725,146564,68041,62120,619928,252084,50483,24505,177096,139596,34283,73689,24362,7262,228248,78797,31642,117809,650942
2018081,619648,619648,415425,38846,165377,178941,178941,20044,20338,38429,44463,55667,629880,290379,49373,61822,179184,122163,56102,22689,26803,16569,79211,17024,19528,16522,26137,138127,73125,31149,33853,339307,130704,23009,93055,14640,79181,21512,38804,14366,4499,129422,36400,22031,70991,250305,10,2021,2021-10-01,2225175,668658,668658,437103,19784,211771,191663,191663,13685,14629,51290,53739,58320,667778,339223,47695,60381,231147,120001,60630,20739,25557,13075,70728,11464,15046,14205,30013,137826,72987,36624,28215,281947,121889,27680,84318,9891,60582,12764,34957,10101,2760,99476,42935,9578,46963,415129,4243256,1288306,1288306,852528,58630,377148,370604,370604,33729,34967,89719,98202,113987,1297658,629602,97068,122203,410331,242164,116732,43428,52360,29644,149939,28488,34574,30727,56150,275953,146112,67773,62068,621254,252593,50689,24531,177373,139763,34276,73761,24467,7259,228898,79335,31609,117954,665434
2047574,632522,632522,423664,38921,169937,181690,181690,20144,20517,39339,45405,56285,635489,292896,49681,62535,180680,123147,56268,22585,27226,17068,80523,17229,19724,16565,27005,138923,73568,31325,34030,342421,132528,23590,94245,14693,79510,21632,39037,14303,4538,130383,37081,22038,71264,255452,11,2021,2021-11-01,2243211,672370,672370,439665,19835,212870,192172,192172,13666,14643,51686,53851,58326,669331,339652,47619,60808,231225,120239,60306,20554,25955,13424,71678,11633,15090,14337,30618,137762,72982,36492,28288,283359,122663,28080,84752,9831,60991,12773,35239,10211,2768,99705,43227,9597,46881,425979,4290785,1304892,1304892,863329,58756,382807,373862,373862,33810,35160,91025,99256,114611,1304820,632548,97300,123343,411905,243386,116574,43139,53181,30492,152201,28862,34814,30902,57623,276685,146550,67817,62318,625780,255191,51670,24524,178997,140501,34405,74276,24514,7306,230088,80308,31635,118145,681431
2050366,638418,638418,427452,38959,172007,184398,184398,20271,20642,40555,46140,56790,628845,290812,49323,62397,179092,120267,55736,22463,25901,16167,79505,17111,19381,16304,26709,138261,73109,31353,33799,341832,132465,23280,94667,14518,79037,21522,38617,14398,4500,130330,37203,21974,71153,256873,12,2021,2021-12-01,2234993,670384,670384,438359,19700,212325,191463,191463,13620,14568,51642,53473,58160,660915,335921,47348,60178,228395,117447,59752,20484,24623,12588,70909,11459,15102,14050,30298,136638,72701,36110,27827,280644,121111,27478,83965,9668,60157,12625,34684,10123,2725,99376,43222,9493,46661,431587,4285359,1308802,1308802,865811,58659,384332,375861,375861,33891,35210,92197,99613,114950,1289760,626733,96671,122575,407487,237714,115488,42947,50524,28755,150414,28570,34483,30354,57007,274899,145810,67463,61626,622476,253576,50758,24186,178632,139194,34147,73301,24521,7225,229706,80425,31467,117814,688460
2081437,648110,648110,433780,39046,175284,188104,188104,20558,20752,42202,47010,57582,637596,293300,49492,63276,180532,123659,56518,22636,27418,17087,80872,17392,19827,16556,27097,139765,74031,31752,33982,345548,134060,23884,95538,14638,80314,21775,39361,14575,4603,131174,37706,22037,71431,262079,1,2022,2022-01-01,2247069,671508,671508,439449,19650,212409,191555,191555,13713,14570,51920,53368,57984,663325,336318,47161,60308,228849,119151,59616,20536,25668,13331,70926,11599,14960,14077,30290,136930,72804,36326,27800,281309,121465,27751,83969,9745,60390,12564,34888,10210,2728,99454,43404,9504,46546,439372,4328506,1319618,1319618,873229,58696,387693,379659,379659,34271,35322,94122,100378,115566,1300921,629618,96653,123584,409381,242810,116134,43172,53086,30418,151798,28991,34787,30633,57387,276695,146835,68078,61782,626857,255525,51635,179507,24383,140704,34339,74249,24785,7331,230628,81110,31541,117977,701451
2074361,646452,646452,432422,38813,175217,188437,188437,20544,20674,42500,47169,57550,635345,292580,49528,63047,180005,123091,56630,22460,27111,16890,80403,17227,19680,16452,27044,139271,73737,31838,33696,342106,133120,23636,95061,14423,79481,21511,39037,14483,4450,129505,37278,21771,70456,262021,2,2022,2022-02-01,2241616,668056,668056,437005,19521,211530,190518,190518,13386,14377,52140,53223,57392,659203,334390,46799,59805,227786,118563,59663,20346,25310,13244,70147,11430,14700,13941,30076,136103,72308,36093,27702,278192,120258,27466,83153,9639,59476,12336,34430,10023,2687,98458,43261,9362,45835,445647,4315977,1314508,1314508,869427,58334,386747,378955,378955,33930,35051,94640,100392,114942,1294548,626970,96327,122852,407791,241654,116293,42806,52421,30134,150550,28657,34380,30393,57120,275374,146045,67931,61398,620298,253378,51102,178214,24062,138957,33847,73467,24506,7137,227963,80539,31133,116291,707668
2115680,664080,664080,444027,39431,180622,191126,191126,20829,20861,43033,47881,58522,644228,297807,50105,64025,183677,124891,57608,22769,27402,17112,80795,17418,19810,16556,27011,140735,74408,31982,34345,348793,135751,24225,96793,14733,81126,21922,39715,14872,4617,131916,38200,22085,71631,267453,3,2022,2022-03-01,2282575,681152,681152,446208,19856,215088,192960,192960,13707,14567,52828,53624,58234,663950,337457,47003,60412,230042,119297,60261,20444,25325,13267,70348,11445,14871,13961,30071,136848,72699,36258,27891,282895,121947,28033,84135,9779,60771,12586,35057,10358,2770,100177,44211,9534,46432,461618,4398255,1345232,1345232,890235,59287,395710,384086,384086,34536,35428,95861,101505,116756,1308178,635264,97108,124437,413719,244188,117869,43213,52727,30379,151143,28863,34681,30517,57082,277583,147107,68240,62236,631688,257698,52258,180928,24512,141897,34508,74772,25230,7387,232093,82411,31619,118063,729071
2125813,669904,669904,448316,39244,182344,191685,191685,20768,20855,43253,48153,58656,646970,299419,50463,64129,184827,124773,57589,22721,27204,17259,81774,17474,19934,16635,27731,141004,74508,32116,34380,347477,135322,24179,96526,14617,80623,21762,39451,14818,4592,131532,38323,21923,71286,269777,4,2022,2022-04-01,2283058,681030,681030,446339,19708,214983,191600,191600,13609,14439,52486,53319,57747,663105,336609,47122,60320,229167,118929,60187,20357,25056,13329,70846,11502,14951,14047,30346,136721,72780,36140,27801,282662,121715,27875,84078,9762,60744,12551,35076,10371,2746,100203,44027,9596,46580,464661,4408871,1350934,1350934,894655,58952,397327,383285,383285,34377,35294,95739,101472,116403,1310075,636028,97585,124449,413994,243702,117776,43078,52260,30588,152620,28976,34885,30682,58077,277725,147288,68256,62181,630139,257037,52054,180604,24379,141367,34313,74527,25189,7338,231735,82350,31519,117866,734438
2132337,674538,674538,452350,39229,182959,191962,191962,20670,20798,43609,48456,58429,647189,299847,50252,64231,185364,125118,57701,22762,27312,17343,81290,17311,19834,16493,27652,140934,74509,31916,34509,347096,135008,24131,96239,14638,81024,21996,39454,14942,4632,131064,38163,21816,71085,271552,5,2022,2022-05-01,2294681,681923,681923,446833,19723,215367,191367,191367,13567,14361,52503,53536,57400,662858,336701,47127,60307,229267,119090,60005,20312,25386,13387,70676,11428,14947,13947,30354,136391,72671,36061,27659,281469,121115,27875,83479,9761,60757,12503,35059,10398,2797,99597,43815,9495,46287,477064,4427018,1356461,1356461,899183,58952,398326,383329,383329,34237,35159,96112,101992,115829,1310047,636548,97379,124538,414631,244208,117706,43074,52698,30730,151966,28739,34781,30440,58006,277325,147180,67977,62168,628565,256123,52006,179718,24399,141781,34499,74513,25340,7429,230661,81978,31311,117372,748616
2152356,685592,685592,460043,39374,186175,192657,192657,20731,20966,43634,48225,59101,649815,300806,50111,64097,186598,125457,58082,22733,27340,17302,81587,17391,19834,16482,27880,141965,75171,32190,34604,348664,136104,24423,97047,14634,81327,22045,39548,15059,4675,131233,38252,21805,71176,275628,6,2022,2022-06-01,2311188,687390,687390,451155,19737,216498,192080,192080,13607,14526,52833,53196,57918,662592,336394,47078,60249,229067,118911,59973,20213,25425,13300,70953,11547,14993,13994,30419,136334,72626,35940,27768,282012,121360,28021,83566,9773,60959,12544,35126,10496,2793,99693,43805,9467,46421,487114,4463544,1372982,1372982,911198,59111,402673,384737,384737,34338,35492,96467,101421,117019,1312407,637200,97189,124346,415665,244368,118055,42946,52765,30602,152540,28938,34827,30476,58299,278299,147797,68130,62372,630676,257464,52444,180613,24407,142286,34589,74674,25555,7468,230926,82057,31272,117597,762742
2166915,693662,693662,465364,39769,188529,193870,193870,20936,20963,44150,48724,59097,651900,301634,50192,64558,186884,125904,58396,22459,27469,17580,81822,17419,19940,16499,27964,142540,75532,32393,34615,349557,136243,24330,97347,14566,81414,22123,39538,15066,4687,131900,38528,21856,71516,277926,7,2022,2022-07-01,2318175,690247,690247,453412,19738,217097,191594,191594,13574,14497,53012,53112,57399,660328,335080,46675,60071,228334,118717,59994,19769,25467,13487,70442,11471,14855,13836,30280,136089,72582,35992,27515,281026,121044,27991,83276,9777,60699,12477,34855,10530,2837,99283,43600,9493,46190,494980,4485090,1383909,1383909,918776,59507,405626,385464,385464,34510,35460,97162,101836,116496,1312228,636714,96867,124629,415218,244621,118390,42228,52936,31067,152264,28890,34795,30335,58244,278629,148114,68385,62130,630583,257287,52321,180623,24343,142113,34600,74393,25596,7524,231183,82128,31349,117706,772906
2180443,701138,701138,471012,39781,190345,195068,195068,20950,21025,44504,48872,59717,653490,302776,50181,64636,187959,125924,58306,22770,27351,17497,82251,17477,20031,16597,28146,142539,75496,32360,34683,350678,136706,24364,97802,14540,81727,22141,39772,15111,4703,132245,38865,21854,71526,280069,8,2022,2022-08-01,2339740,695222,695222,457687,19820,217715,192471,192471,13615,14526,53139,53358,57833,663451,336676,46899,60316,229461,119122,59981,20264,25410,13467,70930,11593,15036,13915,30386,136723,72883,36047,27793,282411,121241,27840,83604,9797,61638,12656,35387,10744,2851,99532,43743,9481,46308,506185,4520183,1396360,1396360,928699,59601,408060,387539,387539,34565,35551,97643,102230,117550,1316941,639452,97080,124952,417420,245046,118287,43034,52761,30964,153181,29070,35067,30512,58532,279262,148379,68407,62476,633089,257947,52204,181406,24337,143365,34797,75159,25855,7554,231777,82608,31335,117834,786254
2186655,707453,707453,475472,39769,192212,194583,194583,20785,20963,44676,48794,59365,653202,302706,50035,64484,188187,126420,58670,22747,27444,17559,81908,17425,20006,16409,28068,142168,75305,32289,34574,350244,136513,24438,97591,14484,81644,22151,39680,15195,4618,132087,38815,21837,71435,281173,9,2022,2022-09-01,2343126,696508,696508,459045,19910,217553,191779,191779,13684,14414,53068,53042,57571,660465,334750,46550,59820,228380,119262,60046,20227,25414,13575,70763,11595,15052,13762,30354,135690,72520,35772,27398,280751,120667,27876,83070,9721,61119,12489,35104,10615,2911,98965,43430,9412,46123,513623,4529781,1403961,1403961,934517,59679,409765,386362,386362,34469,35377,97744,101836,116936,1313667,637456,96585,124304,416567,245682,118716,42974,52858,31134,152671,29020,35058,30171,58422,277858,147825,68061,61972,630995,257180,52314,180661,24205,142763,34640,74784,25810,7529,231052,82245,31249,117558,794796
2194684,714347,714347,480620,39608,194119,193691,193691,20743,20749,44119,48869,59211,654388,304080,50147,64584,189349,125944,58437,22771,27428,17308,81802,17392,19954,16465,27991,142562,75484,32314,34764,349961,136649,24391,97752,14506,81218,21982,39503,15114,4619,132094,38886,21750,71458,282297,10,2022,2022-10-01,2351434,699199,699199,461748,19905,217546,190998,190998,13629,14488,52839,52770,57272,658974,333467,46465,59842,227160,118760,59858,20171,25371,13360,70999,11685,15062,13839,30413,135748,72557,35719,27472,280258,120469,27757,83017,9695,60975,12512,34983,10631,2849,98814,43291,9437,46086,522005,4546118,1413546,1413546,942368,59513,411665,384689,384689,34372,35237,96958,101639,116483,1313362,637547,96612,124426,416509,244704,118295,42942,52799,30668,152801,29077,35016,30304,58404,278310,148041,68033,62236,630219,257118,52148,180769,24201,142193,34494,74486,25745,7468,230908,82177,31187,117544,804302
2205793,721775,721775,485808,39719,196248,194464,194464,20773,20811,44352,49096,59432,653841,304415,50041,64615,189759,126219,58612,22687,27441,17479,81596,17347,19926,16330,27993,141611,74630,32271,34710,350994,137111,24587,98010,14514,81699,22073,39690,15272,4664,132184,38985,21789,71410,284719,11,2022,2022-11-01,2352645,699960,699960,462386,19733,217841,189680,189680,13540,14298,52605,52337,56900,655277,331959,46341,59526,226092,118561,59787,20025,25361,13388,70341,11640,14954,13642,30105,134416,71824,35427,27165,279030,119662,27592,82336,9734,60937,12357,35094,10615,2871,98431,43065,9318,46048,528698,4558438,1421735,1421735,948194,59452,414089,384144,384144,34313,35109,96957,101433,116332,1309118,636374,96382,124141,415851,244780,118399,42712,52802,30867,151937,28987,34880,29972,58098,276027,146454,67698,61875,630024,256773,52179,180346,24248,142636,34430,74784,25887,7535,230615,82050,31107,117458,813417
2219339,727776,727776,491162,39713,196901,195430,195430,20768,20961,44787,49335,59579,656452,305288,49981,65183,190124,126914,58849,22772,27484,17809,81808,17385,19891,16417,28115,142442,75265,32369,34808,351872,137487,24540,98457,14490,82000,22226,39753,15333,4688,132385,39088,21757,71540,287809,12,2022,2022-12-01,2349571,698028,698028,462166,19708,216154,188523,188523,13486,14283,52260,51994,56500,651259,329783,45863,59364,224556,117952,59480,19994,25045,13433,69641,11473,14846,13548,29774,133883,71494,35170,27219,277411,119010,27262,82169,9579,60685,12309,34895,10593,2888,97716,42632,9369,45715,534350,4568910,1425804,1425804,953328,59421,413055,383953,383953,34254,35244,97047,101329,116079,1307711,635071,95844,124547,414680,244866,118329,42766,52529,31242,151449,28858,34737,29965,57889,276325,146759,67539,62027,629283,256497,51802,180626,24069,142685,34535,74648,25926,7576,230101,81720,31126,117255,822159
2197697,723273,723273,488432,39375,195466,193602,193602,20643,20728,44426,49023,58782,646697,300591,49302,64411,186878,124966,57581,22538,27250,17597,80933,17263,19822,16096,27752,140207,73912,31980,34315,347881,135409,24093,96947,14369,81307,22019,39365,15274,4649,131165,38921,21592,70652,286244,1,2023,2023-01-01,2363827,703684,703684,466219,20003,217462,188382,188382,13501,14277,52011,52123,56470,651715,329641,45763,59277,224601,118231,59241,19948,25351,13691,70011,11677,14877,13542,29915,133832,71321,35098,27413,279138,119345,27078,82641,9626,61079,12453,35030,10699,2897,98714,42938,9427,46349,540908,4561524,1426957,1426957,954651,59378,412928,381984,381984,34144,35005,96437,101146,115252,1298412,630232,95065,123688,411479,243197,116822,42486,52601,31288,150944,28940,34699,29638,57667,274039,145233,67078,61728,627019,254754,51171,179588,23995,142386,34472,74395,25973,7546,229879,81859,31019,117001,827152
2211844,730159,730159,493258,39429,197472,195244,195244,20681,20896,44979,49585,59103,649989,302315,49397,64737,188181,125596,57975,22576,27484,17561,81327,17327,19838,16207,27955,140751,74163,32220,34368,348333,135962,24066,97504,14392,81135,21925,39294,15294,4622,131236,38946,21530,70760,288119,2,2023,2023-02-01,2350401,697835,697835,463012,19663,215160,187096,187096,13229,14147,52176,51432,56112,645316,326663,45420,58829,222414,116900,58832,19767,25062,13239,69248,11445,14756,13459,29588,132505,70740,34727,27038,275420,118087,26760,81678,9649,60165,12255,34521,10564,2825,97168,42477,9290,45401,544734,4562245,1427994,1427994,956270,59092,412632,382340,382340,33910,35043,97155,101017,115215,1295305,628978,94817,123566,410595,242496,116807,42343,52546,30800,150575,28772,34594,29666,57543,273256,144903,66947,61406,623753,254049,50826,179182,24041,141300,34180,73815,25858,7447,228404,81423,30820,116161,832853
2240549,742140,742140,501581,39751,200808,196957,196957,20840,21000,45691,49997,59429,657837,306747,49967,65501,191279,127163,58772,22861,27686,17844,81866,17362,19925,16312,28267,142061,75036,32479,34546,351246,137402,24522,98419,14461,81695,22060,39584,15376,4675,132149,39324,21648,71177,292369,3,2023,2023-03-01,2374802,704825,704825,467431,19788,217606,187785,187785,13298,14250,52318,51715,56204,647739,327611,45451,59038,223122,117508,59075,19827,25163,13443,69460,11506,14774,13463,29717,133160,71112,34976,27072,276509,118266,26973,81661,9632,60637,12378,34683,10743,2833,97606,42685,9268,45653,557944,4615351,1446965,1446965,969012,59539,418414,384742,384742,34138,35250,98009,101712,115633,1305576,634358,95418,124539,414401,244671,117847,42688,52849,31287,151326,28868,34699,29775,57984,275221,146148,67455,61618,627755,255668,51495,180080,24093,142332,34438,74267,26119,7508,229755,82009,30916,116830,850313
2218391,740101,740101,500907,39571,199623,195773,195773,20821,20854,45112,49789,59197,643367,302849,49419,64855,188575,120291,55448,21941,26035,16867,80340,17158,19697,16010,27475,139887,73911,31952,34024,347757,134946,22777,97898,14271,81568,22035,39502,15362,4669,131243,38965,21561,70717,291393,4,2023,2023-04-01,2331493,695531,695531,461519,19576,214436,185260,185260,13169,13979,51042,51418,55652,627072,320326,44683,58038,217605,109091,54849,18598,23212,12432,67439,11169,14458,13094,28718,130216,69382,34465,26369,271072,114703,24742,80519,9442,59998,12189,34466,10531,2812,96371,42015,9177,45179,552558,4549884,1435632,1435632,962426,59147,414059,381033,381033,33990,34833,96154,101207,114849,1270439,623175,94102,122893,406180,229382,110297,40539,49247,29299,147779,28327,34155,29104,56193,270103,143293,66417,60393,618829,249649,47519,178417,23713,141566,34224,73968,25893,7481,227614,80980,30738,115896,843951
2232606,747279,747279,506366,39561,201352,196357,196357,20766,20910,45293,49902,59486,646594,304841,49278,64817,190746,121847,56416,22148,25893,17390,79930,17224,19544,15967,27195,139976,74195,31842,33939,349013,136236,23649,98274,14313,81735,22049,39548,15472,4666,131042,39155,21501,70386,293363,5,2023,2023-05-01,2365381,701905,701905,466127,19773,216005,185235,185235,13175,13974,51062,51391,55633,637235,324158,44942,58840,220376,113461,56987,19425,23999,13050,68530,11357,14624,13193,29356,131086,70068,34279,26739,274253,116451,25718,81238,9495,60521,12233,34710,10697,2881,97281,42567,9298,45416,566753,4597987,1449184,1449184,972493,59334,417357,381592,381592,33941,34884,96355,101293,115119,1283829,628999,94220,123657,411122,235308,113403,41573,49892,30440,148460,28581,34168,29160,56551,271062,144263,66121,60678,623266,252687,49367,179512,23808,142256,34282,74258,26169,7547,228323,81722,30799,115802,860116
2242166,754572,754572,510809,39715,204048,195961,195961,20685,20758,45390,49798,59330,648278,306459,49619,65202,191638,121541,56244,22020,26028,17249,80295,17252,19708,16022,27313,139983,74096,31943,33944,348977,136167,23428,98521,14218,81751,21990,39609,15456,4696,131059,39346,21454,70259,294378,6,2023,2023-06-01,2359216,700847,700847,465563,19531,215753,184774,184774,13204,13946,51372,51120,55132,629729,321468,44349,58127,218992,110833,55760,18825,23465,12783,67486,11278,14445,13152,28611,129942,69467,34187,26288,272428,115310,25493,80364,9453,60066,12138,34411,10675,2842,97052,42559,9224,45269,571438,4601382,1455419,1455419,976372,59246,419801,380735,380735,33889,34704,96762,100918,114462,1278007,627927,93968,123329,410630,232374,112004,40845,49493,30032,147781,28530,34153,29174,55924,269925,143563,66130,60232,621405,251477,48921,178885,23671,141817,34128,74020,26131,7538,228111,81905,30678,115528,865816
2213092,748963,748963,507705,39315,201943,192840,192840,20296,20384,44905,49077,58178,634921,301714,48558,64043,189113,118036,54559,21596,25312,16569,78994,17005,19286,15735,26968,136177,72353,30810,33014,345608,135610,23569,97926,14115,80441,21727,38782,15260,4672,129557,38888,21319,69350,290760,7,2023,2023-07-01,2360274,700401,700401,465753,19544,215104,184868,184868,13330,13992,51299,50851,55396,627676,320377,44681,57738,217958,110535,55008,18939,23686,12902,67436,11243,14554,13054,28585,129328,69275,33775,26278,271606,114815,25338,80097,9380,60066,12173,34365,10653,2875,96725,42492,9170,45063,575723,4573366,1449364,1449364,973458,58859,417047,377708,377708,33626,34376,96204,99928,113574,1262597,622091,93239,121781,407071,228571,109567,40535,48998,29471,146430,28248,33840,28789,55553,265505,141628,64585,59292,617214,250425,48907,178023,23495,140507,33900,73147,25913,7547,226282,81380,30489,114413,866483
2213792,753046,753046,509271,39411,204364,193029,193029,20205,20388,45008,49158,58270,631562,299891,48392,63526,187973,117222,54575,21208,24936,16503,78289,16838,19029,15698,26724,136160,72044,31008,33108,344659,135202,23102,98080,14020,80236,21620,38744,15187,4685,129221,38763,21278,69180,291496,8,2023,2023-08-01,2338598,698750,698750,464426,19542,214782,182712,182712,13060,13783,51014,50664,54191,613891,313864,43215,56697,213952,107527,54253,18158,22603,12513,66217,11168,14171,12920,27958,126283,67484,33005,25794,268483,113724,24637,79699,9388,59464,12002,33915,10691,2856,95295,42002,9158,44135,574762,4552390,1451796,1451796,973697,58953,419146,375741,375741,33265,34171,96022,99822,112461,1245453,613755,91607,120223,401925,224749,108828,39366,47539,29016,144506,28006,33200,28618,54682,262443,139528,64013,58902,613142,248926,47739,177779,23408,139700,33622,72659,25878,7541,224516,80765,30436,113315,866258
