Periodo de Cobertura,Total_RC_Tasa_Dependencia,Total_RC_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dep_Directa,ARS_AutoGest_Tasa_Dependencia,ARS_Priv_Tasa_Dep_Directa,ARS_Priv_Tasa_Dependencia,ARS_Pub_Tasa_Dep_Directa,ARS_Pub_Tasa_Dependencia,Year,Month
2010-11-01,1.046082795908034,0.9859892742699864,1.3073266065723164,1.2109597162902535,1.0773066654950598,1.0191622322210823,0.8727084078970677,0.8191056690129388,2010,11
2010-12-01,1.0506227550415879,0.9895408032711662,1.305480930150621,1.209338941249009,1.080523476651026,1.021705129432794,0.8836061575541942,0.8275863305740069,2010,12
2011-01-01,1.0544253185439232,0.9923549458421064,1.3049848471343257,1.20656921294233,1.0814211921560026,1.0220288864548361,0.8972239225146725,0.8393367659237388,2011,1
2011-02-01,1.061887776255348,0.9985579715350852,1.3068960866731103,1.207444536851806,1.0884995433453541,1.0279111892455608,0.9087111060152208,0.8491644332334858,2011,2
2011-03-01,1.0669901654871485,1.0020556130848868,1.30788188581078,1.206654191958377,1.0935804020100504,1.0317412060301507,0.9170370107645108,0.8546454095656955,2011,3
2011-04-01,1.0722808368913572,1.005919624428758,1.3099064079871354,1.2074526544730966,1.09723430398527,1.0342708231506241,0.9290502144608921,0.8640047008983079,2011,4
2011-05-01,1.086723526042667,1.017505108865114,1.3165667959111738,1.210938785101633,1.1116140111446564,1.046295899944856,0.9444440425116299,0.8752288002546647,2011,5
2011-06-01,1.0966024610257588,1.0259259703703196,1.3179019303095376,1.210412044562032,1.121007050602109,1.054280900979597,0.9606413527333284,0.8897417010934737,2011,6
2011-07-01,1.0985952914636943,1.0267242393242235,1.3197605365133829,1.2117740213309658,1.1211581067719387,1.0537122864524424,0.9686021884927638,0.8946240734204024,2011,7
2011-08-01,1.1057519646758232,1.0324542978730569,1.32069693383277,1.2111543576666381,1.125185976238729,1.056412994672524,0.986436817494838,0.9104503558428473,2011,8
2011-09-01,1.1172370228052253,1.0425483875332338,1.3240666112812627,1.21564348332858,1.1340978226936451,1.0639990610260468,1.0060953694795882,0.9275126608701966,2011,9
2011-10-01,1.1106250194815752,1.0335933965673676,1.336167161733074,1.2200911605039435,1.1246626596181235,1.0527035508243416,1.0063129736959429,0.9251680784663397,2011,10
2011-11-01,1.1194692952785197,1.040343546027981,1.335781660739137,1.2188546982114323,1.1329562106637094,1.0592150020650235,1.018582268442586,0.9339112881423138,2011,11
2011-12-01,1.1184277293210305,1.0384349662766283,1.3359289688523737,1.221777338671936,1.1293673670998439,1.054539293776278,1.023650342331661,0.9374325308391243,2011,12
2012-01-01,1.1229747058729425,1.041104114200361,1.3400062640288146,1.2218510205146944,1.1343014870918138,1.0582229396089817,1.0274548240689607,0.9380099549795012,2012,1
2012-02-01,1.1303465691177348,1.0474249382971095,1.3420959566191206,1.2233879523753388,1.1434642644013475,1.0663226367857577,1.0307941178623452,0.940077003593989,2012,2
2012-03-01,1.1348681373362084,1.050631116271355,1.3428545139071455,1.2228298017771702,1.1477678618404514,1.0694550807259666,1.037004915768722,0.9442247916537608,2012,3
2012-04-01,1.1373305978559252,1.052074518367465,1.3443955433963761,1.2237289031627083,1.1515915167175832,1.0721058072829144,1.0360165264673769,0.9424802034249979,2012,4
2012-05-01,1.1436188644985625,1.0568853674777783,1.3458865962976714,1.2250702805919482,1.1573672993888513,1.0763288552752017,1.0446236813990206,0.9492942544913564,2012,5
2012-06-01,1.1475790916197062,1.0598236157944485,1.3468125847716816,1.2241163798835137,1.162545706120117,1.0803521336024167,1.0461063904507095,0.9503129876289331,2012,6
