Periodo de Cobertura,Year,Month,Ingresos en Salud_RC,Gasto en Salud_RC,Porcentaje (%) de Siniestralidad_RC,Ingresos en Salud_OP,Gasto en Salud_OP,Porcentaje (%) de Siniestralidad_OP
2020-07-01,2020,7,5000727707.97,5030785447.81,100.60106731650468,765662169.67,646173810.5600001,84.39411481417459
2020-08-01,2020,8,4963281035.92,4451751968.760001,89.69373155664596,779079615.45,648800924.4399999,83.27787193677882
2020-09-01,2020,9,5016065116.52,4563721371.1,90.9820998150474,785749141.3099998,646922954.4200001,82.33199635973526
2020-10-01,2020,10,5012759727.569999,5169497470.679999,103.1267755014857,796629472.49,760415035.06,95.45404247763948
2020-11-01,2020,11,4964861455.57,4787467246.85,96.42700586295346,800181467.2399999,717421496.37,89.65734970650382
2020-12-01,2020,12,5070839845.059999,5323577198.11,104.98413203280748,832415129.17,866794309.9200001,104.1300523675344
2021-01-01,2021,1,4890313679.72,3807965520.29,77.86751054603167,821617556.0,575686254.02,70.06742368343454
2021-02-01,2021,2,4753025325.06,4949793040.360002,104.139841508156,850067241.26,813536917.01,95.70265474577594
2021-03-01,2021,3,4808458423.12,4985550025.570001,103.6829184505061,873236964.61,895390000.75,102.53688712661102
2021-04-01,2021,4,4794035659.77,4363414187.909999,91.01755801539738,903071670.36,682794142.66,75.60796834517146
2021-05-01,2021,5,4875934953.899999,5168525816.700001,106.00071300307184,884403139.01,818441698.36,92.54169984925232
2021-06-01,2021,6,4881914340.57,4504770637.990001,92.27467595148411,892377207.71,798397097.8499999,89.46856676212406
2021-07-01,2021,7,5173492231.8,4766192386.410001,92.12717779131006,897538233.12,872576448.75,97.21886116391627
2021-08-01,2021,8,5106319989.12,5803563581.989999,113.6545221285703,900986068.62,791170307.56,87.81160276671093
2021-09-01,2021,9,5097315252.590001,5057953273.19,99.22778997473226,918681425.05,826610161.5600001,89.97788994318799
2021-10-01,2021,10,5796105239.38,5390944469.409999,93.00977547444704,932145210.27,817251494.8399999,87.6742685405506
2021-11-01,2021,11,5802248211.98,5372050573.570001,92.58567329950203,935483498.42,887757477.0500001,94.89825085631038
2021-12-01,2021,12,8070734161.91,4785616419.13,59.29592430036684,951188132.1,737047464.75,77.48703330883369
2022-01-01,2022,1,5897001834.12,4903697936.83,83.15578110315734,993061112.01,888895530.5999999,89.51065748620806
2022-02-01,2022,2,5960878200.660001,4819899712.64,80.85888606323698,1000942272.55,819571259.9499999,81.8799727442883
2022-03-01,2022,3,6049416342.96,5517481501.03,91.20684026734185,979552302.92,868339764.0100001,88.64659512529545
2022-04-01,2022,4,5909937590.92,5780447611.750001,97.808945066206,1029349418.5,797850293.4,77.51015146660811
2022-05-01,2022,5,6050354330.43,6267875835.47,103.59518621820187,1032844558.71,974494097.09,94.3505088807479
2022-06-01,2022,6,6060051339.51,5695053909.67,93.97699112777627,1012168066.44,925375314.04,91.42506513713006
2022-07-01,2022,7,6077972958.12,5398195042.19,88.81571338645335,1029041827.35,896059156.54,87.07703931214745
2022-08-01,2022,8,6127768877.44,6015776644.0,98.17238156856224,1035027302.29,903662412.26,87.30807489431875
2022-09-01,2022,9,6591710144.78,5449377677.0,82.67016536392127,1066878522.2,781564887.1600001,73.2571582328176
2022-10-01,2022,10,7562158326.009999,6278854731.07,83.02992955693503,1092410678.1,1069793748.44,97.92963121714108
2022-11-01,2022,11,6928305895.900001,5289710192.73,76.34925871070905,1118042637.9,859436888.04,76.86977749384096
2022-12-01,2022,12,7463226777.389999,5412747463.91,72.5255660233725,1067146442.39,898481431.2,84.19476423383328
2023-01-01,2023,1,6940717042.08,5489186951.170001,79.08674158433921,1101545039.0700002,921179625.42,83.62614262215942
2023-02-01,2023,2,7299088777.280001,6027849388.509999,82.58358779349267,1125041826.57,1023690711.23,90.99134690405272
2023-03-01,2023,3,7354331022.17,6429335221.74,87.42243451319291,1129118387.97,1091360731.72,96.65600554802025
2023-04-01,2023,4,7209905016.97,6021120114.66,83.51178136865951,1149269994.03,1022201499.67,88.94354720648148
2023-05-01,2023,5,7334260306.46,6635711635.349998,90.47554024644148,1151859269.68,1059201058.55,91.95576980895058
2023-06-01,2023,6,7306087028.320001,6378879120.410001,87.30910397979194,1116097838.43,1040724674.02,93.24672427320291
2023-07-01,2023,7,7259938887.08,6652868870.09,91.63808364736568,1159613777.2699995,980704642.4,84.57166184320495
2023-08-01,2023,8,7245038976.11,6168123857.920001,85.13582712610588,1192133581.23,1031382684.53,86.51569763397293
2023-09-01,2023,9,7257828269.820001,7477738327.31,103.02997052719536,1267766456.11,785903595.1700001,61.99119651591489
2023-10-01,2023,10,7291734269.82,6966769097.589998,95.54337609949653,1276000955.23,1360989876.43,106.6605687755681
2023-11-01,2023,11,7432778778.759999,6365954554.450001,85.64703382053332,1265375290.63,1077233380.59,85.13153280033397
