Periodo de Cobertura,Ingresos en Salud,Gasto en Salud,Porcentaje (%) de Siniestralidad,Year,Month
2016-01-01,1254840295.2800002,900784099.7399999,71.78476042953358,2016,1
2016-02-01,1249512078.7,1019746167.0899998,81.61154937781393,2016,2
2016-03-01,1283491514.0900002,983915049.48,76.65925630818052,2016,3
2016-04-01,1281876256.1000004,1074297294.6999998,83.80663028804808,2016,4
2016-05-01,1275171621.6700003,938384240.5299999,73.58885851781,2016,5
2016-06-01,1233786592.13,927649889.8700001,75.18722409428297,2016,6
2016-07-01,1203092575.8300002,954384688.01,79.32761843797272,2016,7
2016-08-01,1161136004.4299996,882124891.5699998,75.97084994389041,2016,8
2016-09-01,1117499856.2300003,860413226.8000002,76.99448210245788,2016,9
2016-10-01,1102533829.6499999,855025926.1899998,77.55099237738841,2016,10
2016-11-01,1063744438.1200001,825441651.7699999,77.59774079090249,2016,11
2016-12-01,1040531793.2699999,786754289.4599999,75.61078811321346,2016,12
2017-01-01,1068425424.4600003,810869001.83,75.89383248155355,2017,1
2017-02-01,1040777661.3699999,810424161.5299999,77.8671748645354,2017,2
2017-03-01,1023684313.3300002,909472147.65,88.8430286375618,2017,3
2017-04-01,994520808.41,711329647.2299999,71.52486315165645,2017,4
2017-05-01,981166622.3100001,745888064.9400002,76.0205298447603,2017,5
2017-06-01,949718017.47,740528972.9799999,77.97356261100859,2017,6
2017-07-01,957660999.63,787311129.97,82.21188189496952,2017,7
2017-08-01,934661600.68,671517644.7599999,71.84607180518026,2017,8
2017-09-01,928339878.51,663067412.64,71.42507049295712,2017,9
2017-10-01,914477487.4,747917544.4399999,81.78632659032914,2017,10
2017-11-01,906865406.67,695687571.11,76.71343134198462,2017,11
2017-12-01,900661137.7300001,597314598.4300001,66.31957052520931,2017,12
2018-01-01,921640390.66,721436762.7400001,78.27746809396763,2018,1
2018-02-01,916554301.8799999,704981434.4,76.91649397684021,2018,2
2018-03-01,907518214.33,731881496.8000001,80.64648017454189,2018,3
2018-04-01,883139733.75,701890978.8699999,79.47677497077623,2018,4
2018-05-01,886784415.2199999,731868019.4300001,82.53054596684956,2018,5
2018-06-01,878846492.2800001,731747987.0400001,83.26232094772537,2018,6
2018-07-01,866601332.5099999,698679677.56,80.6229636800077,2018,7
2018-08-01,671188700.2600001,550443814.83,82.01029227946972,2018,8
2018-09-01,661601547.8299999,531519222.4100001,80.33826767082704,2018,9
2018-10-01,672712682.9000001,586193863.39,87.13881546917985,2018,10
2018-11-01,631517953.9399999,566212096.7800001,89.65890728006056,2018,11
2018-12-01,672969682.78,429992558.73,63.89478898272577,2018,12
2019-01-01,685907638.45,609461444.56,88.85473938404424,2019,1
2019-02-01,682146280.1,517260523.92,75.82838740162471,2019,2
