Periodo de Cobertura,Ingresos en Salud,Gasto en Salud,Porcentaje (%) de Siniestralidad,Year,Month
2010-04-01,1661828001.9099996,1325308808.4500003,79.75005878627478,2010,4
2010-05-01,1658361307.0800004,1246436931.8900003,75.16075818753237,2010,5
2010-06-01,1616165399.2699997,1754029915.3800004,108.53034696648452,2010,6
2010-07-01,1699992527.3500001,1216890799.2400002,71.58212637186861,2010,7
2010-08-01,1702793451.5100002,1553080193.24,91.20778517575118,2010,8
2010-09-01,1720813019.2900002,1710737725.3,99.4145038492237,2010,9
2010-10-01,1732068838.0600002,1573229516.43,90.82950295394103,2010,10
2010-11-01,1580173203.1100001,1508768926.6600003,95.48123735363527,2010,11
2010-12-01,1758919293.34,1558996668.6999998,88.63378067447492,2010,12
2011-01-01,1755610770.7699997,1051175236.9,59.87518727963609,2011,1
2011-02-01,1790351684.9899998,1827464871.79,102.07295511329706,2011,2
2011-03-01,1844797835.0199997,1921974158.7699997,104.1834569775047,2011,3
2011-04-01,1822176203.3300002,1530728227.8299994,84.0054998541094,2011,4
2011-05-01,1797533318.75,1605787846.6599998,89.33285574793464,2011,5
2011-06-01,1856292669.2,1746491850.9099996,94.08494037002684,2011,6
2011-07-01,1839488326.2,1587188072.57,86.28421555948658,2011,7
2011-08-01,1905397245.71,1589120143.1400003,83.40098878162561,2011,8
2011-09-01,1780274909.4399998,1524911839.8700001,85.65597547794872,2011,9
2011-10-01,1873826815.11,2469317412.04,131.779382818526,2011,10
2011-11-01,2040519059.1999998,1657541299.98,81.23135593890758,2011,11
2011-12-01,2048423321.4499998,1551048012.84,75.7191151164044,2011,12
2012-01-01,2056507232.6600006,1486823375.73,72.29847540126859,2012,1
2012-02-01,2074724887.0099998,1792151931.9999998,86.38022049192115,2012,2
2012-03-01,2107023470.4699996,1889491084.8199997,89.67584420872747,2012,3
2012-04-01,2099199780.47,2070079865.7499998,98.61280879547918,2012,4
2012-05-01,2107864586.2499995,1916492957.74,90.9210662886813,2012,5
2012-06-01,2127964683.3399994,1772215862.87,83.28220278958646,2012,6
2012-07-01,2114452397.1599998,1920195335.3900003,90.81289027689091,2012,7
2012-08-01,2153272558.5700006,1942616248.7599998,90.21692312143247,2012,8
2012-09-01,2165384293.54,1792422443.31,82.77618197644368,2012,9
2012-10-01,2137316953.91,1940804554.1799998,90.80565007588129,2012,10
2012-11-01,2155079823.78,1955764409.7300005,90.75136745049186,2012,11
2012-12-01,2181166051.3500004,1736704682.0899997,79.62276329283101,2012,12
2013-01-01,2190393793.5099998,1977635642.84,90.2867625309938,2013,1
2013-02-01,2196785492.1099997,1843015158.49,83.89600009238019,2013,2
2013-03-01,2231698385.56,1901932876.79,85.22356287463765,2013,3
2013-04-01,2205969538.06,1993677303.7100003,90.37646573593685,2013,4
2013-05-01,2273301358.36,2155046842.46,94.79811528440246,2013,5
2013-06-01,2226627870.06,2011009006.55,90.31634938153407,2013,6
2013-07-01,2283558749.69,2253310627.0300007,98.67539546928208,2013,7
2013-08-01,2429105829.3399997,2013015074.0300002,82.87062052693466,2013,8
2013-09-01,2436628565.4599996,2149122276.6,88.20065179668765,2013,9
2013-10-01,2437844029.23,2306542299.9899993,94.61402256806917,2013,10
2013-11-01,2491827564.3099995,2070186643.2900004,83.07904900567414,2013,11
2013-12-01,2478464301.5599995,1896988027.57,76.5388481236544,2013,12
2014-01-01,2482489541.23,2064470679.0700002,83.1613041981686,2014,1
2014-02-01,2521553698.13,1929327839.0,76.5134544003882,2014,2
2014-03-01,2520440174.6400003,2507113171.9500003,99.47124304619118,2014,3
2014-04-01,2570372416.8900003,1996372892.7099998,77.66862418814367,2014,4
2014-05-01,2573343937.93,2276653744.7000003,88.47063585800127,2014,5
2014-06-01,2607129744.4100003,2228477760.26,85.47628920417652,2014,6
2014-07-01,2605010528.9100003,2479597964.15,95.18571754823287,2014,7
2014-08-01,2641711428.1,2266847157.7400002,85.8097948787081,2014,8
2014-09-01,2632595292.93,2275388980.64,86.43140047962177,2014,9
2014-10-01,2657798422.2800007,2470660386.53,92.9589078621898,2014,10
2014-11-01,2675449300.7900004,2175762884.8,81.32327097947794,2014,11
2014-12-01,2682317580.7000003,2153262737.7200003,80.27620417557218,2014,12
2015-01-01,2705643297.200001,2081759516.0500004,76.94138832729203,2015,1
2015-02-01,2715448017.1099997,2264248870.78,83.38398881190139,2015,2
2015-03-01,2770005493.0799994,2595134095.73,93.68696568339445,2015,3
2015-04-01,2782022911.95,2346390612.8900003,84.34116781753418,2015,4
2015-05-01,2799073089.2299995,2339120787.2400002,83.56769232787244,2015,5
2015-06-01,2806997125.22,2313401009.16,82.41551045331713,2015,6
2015-07-01,2813081447.4200006,2586382821.049999,91.9412704321833,2015,7
2015-08-01,2831379086.9900002,2424265538.6699996,85.62136909922586,2015,8
2015-09-01,2821322656.9500003,2569734382.52,91.08261248282817,2015,9
2015-10-01,2908608802.7999997,2881131461.4300003,99.05530983253753,2015,10
2015-11-01,3330042397.8499994,2594939516.1600003,77.92511944698934,2015,11
2015-12-01,3115811309.9299994,2571222412.5899997,82.52176261109231,2015,12
